"Col_Cancer","Lung_Cancer","Suicide","CHD","Brst_Cancer","Obesity","Smoker","Poverty","Few_Fruit_Veg","CHSI_State_Name.x"
15.9,65.3,16.6,172.4,34.1,24.5,26.6,10.4,78.6,"Alabama"
18.6,59.6,10.2,171.6,28.9,23.9,20.7,18,75.6,"Alabama"
20.7,70.7,15.5,127.1,24.9,22.5,28.9,13.2,74.5,"Alabama"
27.7,50.3,NA,149,29.9,NA,NA,28.6,NA,"Alabama"
17.1,55.1,9.9,122.9,17.7,NA,15.2,19.3,NA,"Alabama"
24.9,48.4,11.9,173.3,23.5,29.1,16.5,20.3,NA,"Alabama"
23,49.9,NA,221.4,30.4,NA,NA,26.2,NA,"Alabama"
23.7,51.9,17.3,204.9,30.9,NA,22.1,15.7,NA,"Alabama"
25.9,75.4,12.3,111.8,29.6,28.9,22,18.6,NA,"Alabama"
19.5,78.8,13.3,167.4,20,27.6,28.5,13.1,79.7,"Alabama"
17.8,52.6,8.1,146.8,25.1,20.8,21,6.9,78.3,"Alabama"
17.8,57.1,9.9,147.3,24.3,NA,NA,26.4,NA,"Alabama"
20.1,63.6,9.6,154.1,26,32.7,24.1,16.8,79.1,"Alabama"
19.5,65.7,15.1,177.4,30.8,23.2,29.4,16,79.3,"Alabama"
19.4,68.2,11.9,161.6,24.7,25.3,23.8,16.5,79,"Alabama"
18.3,78.3,17.8,206.2,22.8,30.5,33.8,14.8,79.3,"Alabama"
16.6,58.5,10.2,182.9,26.3,NA,NA,16.9,NA,"Alabama"
17.8,52.5,11.9,229,20.5,22,27.3,20,NA,"Alabama"
22.1,44.6,NA,143.1,35,NA,NA,27.9,NA,"Alabama"
16.7,70.9,13.7,197.2,17.5,28,26.9,16.9,NA,"Alabama"
18.4,73.5,13.6,189.3,26.4,27,25.5,16.4,81.9,"Alabama"
13.8,63.1,12.8,110.8,25.3,NA,11.7,16.2,84.6,"Alabama"
15.3,54.1,17.7,160.4,11,NA,23.6,15.2,NA,"Alabama"
13.7,63.6,13.3,188.1,16.2,31.2,30,14.9,82.8,"Alabama"
21.1,65.7,9.4,221,30.2,NA,17.1,18.7,NA,"Alabama"
25.6,52.7,8.9,190.2,21.4,NA,NA,19.2,NA,"Alabama"
12.5,54.2,11.2,222.8,14.4,NA,23.9,14,NA,"Alabama"
14.9,50.1,30.1,148.9,12.7,NA,NA,14,NA,"Alabama"
15.3,62.1,14.3,156.5,22.5,23.6,24.6,10.2,76.2,"Alabama"
17.7,73.8,13.1,191.7,23.8,25.5,23,13.7,NA,"Alabama"
25.8,64.9,15.1,171.1,34.6,30.1,21.7,14,76.9,"Alabama"
19.3,58.4,13.2,189.1,25.9,NA,12.3,22,NA,"Alabama"
19.6,61.4,NA,180.2,24.3,NA,NA,13.4,NA,"Alabama"
17.1,76.1,10.7,172.7,25.6,30.2,27.8,17.5,NA,"Alabama"
16.7,65.9,11.2,152.3,26.7,NA,NA,17.6,NA,"Alabama"
16.7,67.7,9.1,203.6,26.6,22.2,27.6,13.3,76.2,"Alabama"
20,72.3,10.8,195.9,19.3,25,29.3,15.8,79.5,"Alabama"
31.5,65.9,8.4,185.3,26.1,36.6,20.4,25,85.9,"Alabama"
13.7,49.9,10.9,171.9,23.1,24.3,19.1,15.1,80.7,"Alabama"
23.4,70.6,10.3,95.3,30.5,25.6,17.7,22.1,NA,"Alabama"
16.9,63.8,8.5,138.8,34.1,24.8,22.6,12.5,85,"Alabama"
14.4,67.1,11,221.2,32.3,33.7,26.1,18.6,87.1,"Alabama"
16.2,71.7,15.7,188.6,27.7,27.1,31.5,15.7,81.4,"Alabama"
15.6,60,12,157.6,19.2,32.7,21.2,16.1,NA,"Alabama"
15.5,70.1,13.8,173.3,33.3,NA,NA,17.4,85.5,"Alabama"
14.6,68.3,13.3,212,22.8,34.5,NA,17.6,NA,"Alabama"
16.9,51.5,15,151.1,39.4,NA,NA,24.9,NA,"Alabama"
21.4,61.7,7,184.8,29.5,NA,NA,20.6,NA,"Alabama"
17.2,62.8,8.9,181.8,31.4,NA,NA,16.3,NA,"Alabama"
16.8,61.3,7.6,152.8,29,29.5,25,15.3,77.7,"Alabama"
17.4,64.6,14.8,184.7,30.1,NA,NA,16.8,86.6,"Alabama"
19.7,69.3,12.5,187.2,26.4,29.4,37,14.5,82.3,"Alabama"
22,59.6,11.3,145.6,27.2,27.1,23.4,14.4,79.1,"Alabama"
21.6,64.9,13.7,167.3,23.9,NA,NA,16.1,NA,"Alabama"
18.5,60.5,12.6,133.4,25.8,23.8,21.1,15.6,77.1,"Alabama"
