"","V1","Apis mellifera","Bombus sp1 M_PL_036","Calliphora sp1 M_PL_036","Hymenoptera sp1 M_PL_036","Lepidoptera sp4 M_PL_036","Lucilia sp1 M_PL_036","Moth sp1 M_PL_036","Unidentified sp2 M_PL_036","Unidentified sp3 M_PL_036","Unidentified sp5 M_PL_036","Unidentified sp6 M_PL_036","Unidentified sp7 M_PL_036"
"1","Azorina vidalii",1,1,1,1,1,0,0,1,1,0,0,1
"2","Beta maritima",0,0,0,0,0,0,0,0,1,0,0,0
"3","Crithmum maritimum",0,0,0,0,0,1,0,1,1,0,1,0
"4","Daucus carota",0,0,0,1,0,1,0,1,0,0,0,0
"5","Freesia sp1 M_PL_036",0,1,0,0,1,0,0,0,0,0,0,0
"6","Leucanthemum vulgare",0,0,0,1,0,0,0,1,0,1,0,0
"7","Lotus corniculatus",1,1,0,0,1,0,0,0,0,0,0,0
"8","Reseada luteola",1,0,0,1,0,0,0,0,0,0,0,0
"9","Silene vulgaris",0,0,0,1,0,0,0,0,1,0,0,0
"10","Solidago sempervirens",0,0,0,1,0,0,1,0,0,0,0,0
