"","V1","Acarina sp1 M_PL_045","Coccinella transversoguttata","Delia sp1 M_PL_045","Dolichopus sp1 M_PL_045","Eupeodes curtus","Eupeodes luniger","Lasiomma sp1 M_PL_045","Nysius groenlandicus","Pegomya sp1 M_PL_045","Platycheirus groenlandicus","Platycheirus hyperboreus","Platycheirus lundbecki","Protophormia terranovae","Sphaerophoria scripta","Spilogona sp1 M_PL_045","Sympsitis zetterstedtii","Thysanoptera sp1 M_PL_045","Unidentified sp1 M_PL_045","Unidentified sp2 M_PL_045","Unidentified sp3 M_PL_045","Unidentified sp4 M_PL_045","Unidentified sp5 M_PL_045","Unidentified sp6 M_PL_045","Unidentified sp7 M_PL_045","Unidentified sp8 M_PL_045","Unidentified sp9 M_PL_045"
"1","Campanula gieseckiana",10,0,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"2","Cassiope tetragona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3","Cerastium alpinum",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"4","Dryas integrifolia",0,0,0,0,2,1,1,2,1,0,2,2,0,1,1,0,3,6,1,4,0,0,0,0,0,1
"5","Epilobium latifolium",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Ledum palustre",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,1,0,0,0,0
"7","Pedicularis flammea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8","Polygonum viviparum",0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"9","Potentilla rubricaulis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Pyrola grandiflora",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Rhododendron lapponicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
"12","Salix sp1 M_PL_045",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"13","Saxifraga caespitosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"14","Saxifraga tricuspidata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,45,1,1,0,0,0,1,0,0
"15","Silene acaulis",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
"16","Vaccinium uliginosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"17","Viscaria alpina",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
